month,product_group_id,product_group_name,market_revenue,revenue_amazon
2025-04-01,8,Integrated Stovetops,1380204288.0,133322544.0
2025-05-01,8,Integrated Stovetops,1396148736.0,135812912.0
2025-06-01,8,Integrated Stovetops,1475888640.0,115820416.0
2025-07-01,8,Integrated Stovetops,1475125248.0,141088128.0
2025-08-01,8,Integrated Stovetops,1588381952.0,156254976.0
2025-09-01,8,Integrated Stovetops,1558694912.0,161549584.0
2025-10-01,8,Integrated Stovetops,1591152384.0,159875472.0
2025-11-01,8,Integrated Stovetops,1591487488.0,153080656.0
2025-12-01,8,Integrated Stovetops,1652119808.0,161594432.0
2025-01-01,9,Cooking Appliances,1746402176.0,169485552.0
2025-02-01,9,Cooking Appliances,1398402432.0,156707088.0
2025-03-01,9,Cooking Appliances,1628360320.0,170142160.0
2025-04-01,9,Cooking Appliances,1585332736.0,137500656.0
2025-05-01,9,Cooking Appliances,1453451008.0,121547296.0
2025-06-01,9,Cooking Appliances,1445223424.0,132404472.0
2025-07-01,9,Cooking Appliances,1757263360.0,135498704.0
2025-08-01,9,Cooking Appliances,1538093184.0,143414992.0
2025-09-01,9,Cooking Appliances,1554721280.0,116197704.0
2025-10-01,9,Cooking Appliances,1512646144.0,130585568.0
2025-11-01,9,Cooking Appliances,1469243264.0,119298440.0
2025-12-01,9,Cooking Appliances,1661892992.0,115261008.0
2025-01-01,10,Baking Ovens,1746537216.0,170914688.0
2025-02-01,10,Baking Ovens,1285201024.0,155029360.0
2025-03-01,10,Baking Ovens,1119871360.0,116503736.0
2025-04-01,10,Baking Ovens,1282843136.0,137617392.0
2025-05-01,10,Baking Ovens,1313504512.0,156223712.0
2025-06-01,10,Baking Ovens,1536754048.0,169020480.0
2025-07-01,10,Baking Ovens,1663005696.0,187792048.0
2025-08-01,10,Baking Ovens,1759842432.0,170874272.0
2025-09-01,10,Baking Ovens,1661001216.0,151665280.0
2025-10-01,10,Baking Ovens,1558236928.0,147012992.0
2025-11-01,10,Baking Ovens,1685210624.0,188592416.0
2025-12-01,10,Baking Ovens,1526419968.0,147122096.0
2025-01-01,11,Climate Control Units,1000000000.0,139016464.0
2025-02-01,11,Climate Control Units,1000000000.0,142622176.0
2025-03-01,11,Climate Control Units,1000000000.0,141254816.0
2025-04-01,11,Climate Control Units,1000000000.0,140664064.0
2025-05-01,11,Climate Control Units,1000000000.0,143894848.0
2025-06-01,11,Climate Control Units,1000000000.0,143335856.0
2025-07-01,11,Climate Control Units,1000000000.0,146171344.0
2025-08-01,11,Climate Control Units,1000000000.0,146188368.0
2025-09-01,11,Climate Control Units,1000000000.0,142016976.0
2025-10-01,11,Climate Control Units,1000000000.0,142692112.0
2025-11-01,11,Climate Control Units,1000000000.0,144082576.0
2025-12-01,11,Climate Control Units,1000000000.0,146596144.0
2025-01-01,13,Digital Tablets,3469371648.0,388521952.0
2025-02-01,13,Digital Tablets,3181725184.0,460904192.0
2025-03-01,13,Digital Tablets,3161688320.0,437695520.0
2025-04-01,13,Digital Tablets,2664846336.0,445034496.0
2025-05-01,13,Digital Tablets,2585288704.0,426410560.0
2025-06-01,13,Digital Tablets,2556136448.0,387255872.0
2025-07-01,13,Digital Tablets,2644380928.0,365052768.0
2025-08-01,13,Digital Tablets,2683807488.0,372709984.0
2025-09-01,13,Digital Tablets,2669592064.0,391865344.0
2025-10-01,13,Digital Tablets,3185746432.0,373944512.0
2025-11-01,13,Digital Tablets,2481272832.0,383676896.0
2025-12-01,13,Digital Tablets,2592945408.0,408577024.0
2025-01-01,14,Display Screens,1633575680.0,582292608.0
2025-02-01,14,Display Screens,1503718528.0,529528544.0
2025-03-01,14,Display Screens,1465975168.0,602106240.0
2025-04-01,14,Display Screens,1497864064.0,491613312.0
2025-05-01,14,Display Screens,1625863168.0,563104960.0
2025-06-01,14,Display Screens,1541117824.0,563105536.0
2025-07-01,14,Display Screens,1660857728.0,650752896.0
2025-08-01,14,Display Screens,1543988864.0,671447488.0
2025-09-01,14,Display Screens,1579903360.0,616750720.0
2025-10-01,14,Display Screens,1441722752.0,446178240.0
2025-11-01,14,Display Screens,1516361472.0,468787744.0
2025-12-01,14,Display Screens,1432121088.0,530926848.0
2025-01-01,15,Mobile Phones & Refurbished Devices,35611095040.0,2034677120.0
2025-02-01,15,Mobile Phones & Refurbished Devices,41187909632.0,1860403200.0
2025-03-01,15,Mobile Phones & Refurbished Devices,41482817536.0,2018216960.0
2025-04-01,15,Mobile Phones & Refurbished Devices,40359899136.0,2055582592.0
2025-05-01,15,Mobile Phones & Refurbished Devices,36750807040.0,1862835328.0
2025-06-01,15,Mobile Phones & Refurbished Devices,33489301504.0,2425541376.0
2025-07-01,15,Mobile Phones & Refurbished Devices,32085577728.0,2536109568.0
2025-08-01,15,Mobile Phones & Refurbished Devices,39328079872.0,2840571136.0
2025-09-01,15,Mobile Phones & Refurbished Devices,36567072768.0,2548615680.0
2025-10-01,15,Mobile Phones & Refurbished Devices,41029939200.0,2520817920.0
2025-11-01,15,Mobile Phones & Refurbished Devices,39444213760.0,2312755968.0
2025-12-01,15,Mobile Phones & Refurbished Devices,35031728128.0,2363654912.0
2025-01-01,16,Flat-Screen TVs,12296377344.0,912041728.0
2025-02-01,16,Flat-Screen TVs,12422545408.0,925238720.0
2025-03-01,16,Flat-Screen TVs,11362294784.0,1030109888.0
2025-04-01,16,Flat-Screen TVs,11838678016.0,906952256.0
2025-05-01,16,Flat-Screen TVs,10894988288.0,838972864.0
2025-06-01,16,Flat-Screen TVs,11952377856.0,915369920.0
2025-07-01,16,Flat-Screen TVs,12851833856.0,943114624.0
2025-08-01,16,Flat-Screen TVs,12646479872.0,825014336.0
2025-09-01,16,Flat-Screen TVs,12287963136.0,1001448704.0
2025-10-01,16,Flat-Screen TVs,11266482176.0,938431104.0
2025-11-01,16,Flat-Screen TVs,11265609728.0,911969984.0
2025-12-01,16,Flat-Screen TVs,11773616128.0,984522880.0
2025-01-01,17,Floor Cleaning Devices,4659564544.0,504458304.0
2025-02-01,17,Floor Cleaning Devices,4568413696.0,594300416.0
2025-03-01,17,Floor Cleaning Devices,4987195392.0,570259328.0
2025-04-01,17,Floor Cleaning Devices,5021221376.0,684361920.0
2025-05-01,17,Floor Cleaning Devices,5036212736.0,621837760.0
2025-06-01,17,Floor Cleaning Devices,5289147904.0,704128384.0
2025-07-01,17,Floor Cleaning Devices,5420703744.0,717445056.0
2025-08-01,17,Floor Cleaning Devices,5009908224.0,677004480.0
2025-09-01,17,Floor Cleaning Devices,4807139840.0,651789184.0
2025-10-01,17,Floor Cleaning Devices,4846439936.0,658961984.0
2025-11-01,17,Floor Cleaning Devices,4957688832.0,633972864.0
2025-12-01,17,Floor Cleaning Devices,4815659008.0,658026880.0
2025-01-01,18,Fabric Care Appliances,1361196416.0,213226704.0
2025-02-01,18,Fabric Care Appliances,1329615616.0,209823184.0
2025-03-01,18,Fabric Care Appliances,1386507648.0,187945600.0
2025-04-01,18,Fabric Care Appliances,1429693440.0,196779680.0
2025-05-01,18,Fabric Care Appliances,1355491200.0,192436896.0
2025-06-01,18,Fabric Care Appliances,1503389568.0,190729360.0
2025-07-01,18,Fabric Care Appliances,1511919872.0,181520208.0
2025-08-01,18,Fabric Care Appliances,1660678400.0,202333296.0
2025-09-01,18,Fabric Care Appliances,1509649152.0,210994176.0
2025-10-01,18,Fabric Care Appliances,1574414848.0,213624096.0
2025-11-01,18,Fabric Care Appliances,1734884352.0,222005056.0
2025-12-01,18,Fabric Care Appliances,1574779776.0,226536800.0
2025-01-01,19,Electric Cookware,1000000000.0,144215824.0
2025-02-01,19,Electric Cookware,1000000000.0,143851136.0
2025-03-01,19,Electric Cookware,1000000000.0,140352656.0
2025-04-01,19,Electric Cookware,1000000000.0,148037904.0
2025-05-01,19,Electric Cookware,1000000000.0,151960672.0
2025-06-01,19,Electric Cookware,1000000000.0,139609520.0
2025-07-01,19,Electric Cookware,1000000000.0,151822960.0
2025-08-01,19,Electric Cookware,1000000000.0,145441984.0
2025-09-01,19,Electric Cookware,1000000000.0,151564608.0
2025-10-01,19,Electric Cookware,1000000000.0,141737360.0
2025-11-01,19,Electric Cookware,1000000000.0,148040960.0
2025-12-01,19,Electric Cookware,1000000000.0,147700544.0
2025-01-01,21,Smart Wearables,2367846144.0,200417104.0
2025-02-01,21,Smart Wearables,2413512704.0,220382336.0
2025-03-01,21,Smart Wearables,2220860672.0,214532096.0
2025-04-01,21,Smart Wearables,2245994752.0,197592016.0
2025-05-01,21,Smart Wearables,2366422784.0,198050784.0
2025-06-01,21,Smart Wearables,2275369984.0,190662416.0
2025-07-01,21,Smart Wearables,2240076800.0,199431648.0
2025-08-01,21,Smart Wearables,2128182016.0,192736400.0
2025-09-01,21,Smart Wearables,2184818176.0,200949312.0
2025-10-01,21,Smart Wearables,2167087104.0,179970432.0
2025-11-01,21,Smart Wearables,2330884352.0,187881520.0
2025-12-01,21,Smart Wearables,2157784832.0,182796480.0
2025-01-01,23,Hot Beverage Machines,1619070720.0,260563264.0
2025-02-01,23,Hot Beverage Machines,1693526528.0,256567920.0
2025-03-01,23,Hot Beverage Machines,1759850752.0,302727232.0
2025-04-01,23,Hot Beverage Machines,1610356224.0,291591616.0
2025-05-01,23,Hot Beverage Machines,1463996800.0,341171136.0
2025-06-01,23,Hot Beverage Machines,1589063040.0,333905312.0
2025-07-01,23,Hot Beverage Machines,1580533248.0,265049744.0
2025-08-01,23,Hot Beverage Machines,1677216256.0,286450720.0
2025-09-01,23,Hot Beverage Machines,1582020480.0,322203744.0
2025-10-01,23,Hot Beverage Machines,1356711424.0,323564320.0
2025-11-01,23,Hot Beverage Machines,1566530816.0,353860928.0
2025-12-01,23,Hot Beverage Machines,1634005504.0,341734368.0
2025-01-01,26,Kitchen Prep Appliances,1392557312.0,232962704.0
2025-02-01,26,Kitchen Prep Appliances,1556551680.0,273156608.0
2025-03-01,26,Kitchen Prep Appliances,1408611712.0,251317904.0
2025-04-01,26,Kitchen Prep Appliances,1373248512.0,270128672.0
2025-05-01,26,Kitchen Prep Appliances,1492308736.0,236653616.0
2025-06-01,26,Kitchen Prep Appliances,1522091008.0,256651312.0
2025-07-01,26,Kitchen Prep Appliances,1524300032.0,226399040.0
2025-08-01,26,Kitchen Prep Appliances,1700200576.0,221324304.0
2025-09-01,26,Kitchen Prep Appliances,1337553280.0,203412672.0
2025-10-01,26,Kitchen Prep Appliances,1601475328.0,257506800.0
2025-11-01,26,Kitchen Prep Appliances,1387989632.0,249604656.0
2025-12-01,26,Kitchen Prep Appliances,1567515264.0,209796384.0
2025-01-01,27,Electric Razors,1000000000.0,254071488.0
2025-02-01,27,Electric Razors,1000000000.0,238802832.0
2025-03-01,27,Electric Razors,1000000000.0,246993424.0
2025-04-01,27,Electric Razors,1000000000.0,249976576.0
2025-05-01,27,Electric Razors,1000000000.0,230993008.0
2025-06-01,27,Electric Razors,1000000000.0,236510560.0
2025-07-01,27,Electric Razors,1000000000.0,235442144.0
2025-08-01,27,Electric Razors,1000000000.0,241150176.0
2025-09-01,27,Electric Razors,1000000000.0,234829792.0
2025-10-01,27,Electric Razors,1000000000.0,237669520.0
2025-11-01,27,Electric Razors,1000000000.0,239698384.0
2025-12-01,27,Electric Razors,1000000000.0,242196992.0
2025-01-01,29,All-in-One Printers & Printers,1000000000.0,218977328.0
2025-02-01,29,All-in-One Printers & Printers,1000000000.0,211199472.0
2025-03-01,29,All-in-One Printers & Printers,1000000000.0,202698032.0
2025-04-01,29,All-in-One Printers & Printers,1000000000.0,209219776.0
2025-05-01,29,All-in-One Printers & Printers,1000000000.0,208458096.0
2025-06-01,29,All-in-One Printers & Printers,1000000000.0,213379600.0
2025-07-01,29,All-in-One Printers & Printers,1000000000.0,201168912.0
2025-08-01,29,All-in-One Printers & Printers,1000000000.0,210604256.0
2025-09-01,29,All-in-One Printers & Printers,1000000000.0,194186640.0
2025-10-01,29,All-in-One Printers & Printers,1000000000.0,199927040.0
2025-11-01,29,All-in-One Printers & Printers,1000000000.0,206774464.0
2025-12-01,29,All-in-One Printers & Printers,1000000000.0,211604944.0
2025-01-01,30,Electric Kettles & Heaters,1000000000.0,124922784.0
2025-02-01,30,Electric Kettles & Heaters,1000000000.0,125806928.0
2025-03-01,30,Electric Kettles & Heaters,1000000000.0,129393968.0
2025-04-01,30,Electric Kettles & Heaters,1000000000.0,139919616.0
2025-05-01,30,Electric Kettles & Heaters,1000000000.0,128409928.0
2025-06-01,30,Electric Kettles & Heaters,1000000000.0,134637040.0
2025-07-01,30,Electric Kettles & Heaters,1000000000.0,140059360.0
2025-08-01,30,Electric Kettles & Heaters,1000000000.0,139711824.0
2025-09-01,30,Electric Kettles & Heaters,1000000000.0,125619440.0
2025-10-01,30,Electric Kettles & Heaters,1000000000.0,126785288.0
2025-11-01,30,Electric Kettles & Heaters,1000000000.0,123476248.0
2025-12-01,30,Electric Kettles & Heaters,1000000000.0,123454464.0
2025-01-01,34,Sandwich Makers & Grills,1000000000.0,170666496.0
2025-02-01,34,Sandwich Makers & Grills,1000000000.0,149097232.0
2025-03-01,34,Sandwich Makers & Grills,1000000000.0,168786112.0
2025-04-01,34,Sandwich Makers & Grills,1000000000.0,153185664.0
2025-05-01,34,Sandwich Makers & Grills,1000000000.0,168766352.0
2025-06-01,34,Sandwich Makers & Grills,1000000000.0,152908464.0
2025-07-01,34,Sandwich Makers & Grills,1000000000.0,164262064.0
2025-08-01,34,Sandwich Makers & Grills,1000000000.0,165765136.0
2025-09-01,34,Sandwich Makers & Grills,1000000000.0,167044112.0
2025-10-01,34,Sandwich Makers & Grills,1000000000.0,152504832.0
2025-11-01,34,Sandwich Makers & Grills,1000000000.0,157843584.0
2025-12-01,34,Sandwich Makers & Grills,1000000000.0,172880912.0
2025-01-01,36,Mice & Keyboards,1303985024.0,405718464.0
2025-02-01,36,Mice & Keyboards,1367066752.0,470734240.0
2025-03-01,36,Mice & Keyboards,1565796096.0,477613728.0
2025-04-01,36,Mice & Keyboards,1441556096.0,475940736.0
2025-05-01,36,Mice & Keyboards,1421107968.0,398447360.0
2025-06-01,36,Mice & Keyboards,1613149952.0,405615584.0
2025-07-01,36,Mice & Keyboards,1445982336.0,446179072.0
2025-08-01,36,Mice & Keyboards,1481216640.0,405657600.0
2025-09-01,36,Mice & Keyboards,1521068160.0,402832320.0
2025-10-01,36,Mice & Keyboards,1446743936.0,415331392.0
2025-11-01,36,Mice & Keyboards,1577296256.0,424958528.0
2025-12-01,36,Mice & Keyboards,1846196864.0,517586560.0
2025-01-01,39,Desktop Computers,1618919040.0,402305888.0
2025-02-01,39,Desktop Computers,1453680256.0,482394048.0
2025-03-01,39,Desktop Computers,1650527616.0,438142080.0
2025-04-01,39,Desktop Computers,1545961600.0,417050048.0
2025-05-01,39,Desktop Computers,1634369408.0,526768448.0
2025-06-01,39,Desktop Computers,1594013440.0,415164224.0
2025-07-01,39,Desktop Computers,1548041728.0,474038400.0
2025-08-01,39,Desktop Computers,1241730176.0,464333280.0
2025-09-01,39,Desktop Computers,1340631168.0,482125536.0
2025-10-01,39,Desktop Computers,1639231616.0,546356288.0
2025-11-01,39,Desktop Computers,1487465344.0,550767104.0
2025-12-01,39,Desktop Computers,1319257856.0,500189088.0
2025-01-01,40,Audio Headsets,3487325696.0,549463808.0
2025-02-01,40,Audio Headsets,3108164352.0,406636064.0
2025-03-01,40,Audio Headsets,4052493056.0,483675328.0
2025-04-01,40,Audio Headsets,4292162048.0,495495392.0
2025-05-01,40,Audio Headsets,3387620864.0,484370016.0
2025-06-01,40,Audio Headsets,4092745984.0,462661888.0
2025-07-01,40,Audio Headsets,3891695360.0,515792960.0
2025-08-01,40,Audio Headsets,4425832448.0,429341728.0
2025-09-01,40,Audio Headsets,4388585984.0,416476032.0
2025-10-01,40,Audio Headsets,3842573824.0,391872032.0
2025-11-01,40,Audio Headsets,3662963456.0,388081536.0
2025-12-01,40,Audio Headsets,3922227456.0,470355840.0
2025-01-01,43,Communication Gadgets,1378630912.0,356281952.0
2025-02-01,43,Communication Gadgets,1501616384.0,381127392.0
2025-03-01,43,Communication Gadgets,1521748864.0,333940704.0
2025-04-01,43,Communication Gadgets,1388183040.0,336228864.0
2025-05-01,43,Communication Gadgets,1662460544.0,411073952.0
2025-06-01,43,Communication Gadgets,1515024000.0,384069216.0
2025-07-01,43,Communication Gadgets,1547611520.0,405804512.0
2025-08-01,43,Communication Gadgets,1575101056.0,410319136.0
2025-09-01,43,Communication Gadgets,1538946816.0,330219072.0
2025-10-01,43,Communication Gadgets,1722730496.0,363985248.0
2025-11-01,43,Communication Gadgets,1629081984.0,369043616.0
2025-12-01,43,Communication Gadgets,1604622080.0,399954336.0
